station_id	name	altitude	lat	lon	country
5414001	Rio Putaendo En Resguardo Los Patos	1218	-32.50170135	-70.58110046	Chile
5404001	Canal Colorado En Bocatoma	1391	-32.83470154	-70.353302	Chile
5410002	Rio Aconcagua En Chacabuquito	950	-32.85029984	-70.50939941	Chile
5410006	Vilcuya	1100	-32.86029816	-70.47190094	Chile
5401003	Rio Juncal En Juncal	1800	-32.86249924	-70.16750336	Chile
5426004	Quillota	130	-32.89580154	-71.209198	Chile
5403002	Rio Aconcagua En Rio Blanco	1420	-32.90670013	-70.3035965	Chile
5500003	Las Salinas	20	-33.00189972	-71.54669952	Chile
5733008	Rungue Embalse	700	-33.01940155	-70.90809631	Chile
5510001	Rodelillo	110	-33.0503006	-71.58329773	Chile
5510005	Cerro Colorado Armada De Chile	510	-33.08190155	-71.61689758	Chile
5427006	Lliu-Lliu Embalse	260	-33.09859848	-71.21440125	Chile
5510002	Lago Peuelas	360	-33.14500046	-71.55529785	Chile
5706003	Valle Olivares	2787	-33.18690109	-70.11219788	Chile
5721017	Estero Yerba Loca En Piedra Carvajal	3250	-33.22140121	-70.27359772	Chile
5721016	Rio San Francisco Antes Junta Estero Yerba Loca	1550	-33.30860138	-70.35720062	Chile
5722001	Estero Arrayan En La Montosa	880	-33.32559967	-70.45610046	Chile
5721001	Estero Yerba Loca Antes Junta San Francisco	1350	-33.34140015	-70.36360168	Chile
5722002	Rio Mapocho En Los Almendros	966	-33.37030029	-70.45079803	Chile
5730012	Cerro Calan	848	-33.39500046	-70.53669739	Chile
5744002	Los Panguiles	190	-33.43859863	-71.02559662	Chile
5730016	Terraza Oficinas Centrales Dga	560	-33.44860077	-70.64440155	Chile
5706001	Rio Olivares Antes Junta Rio Colorado	1500	-33.4878006	-70.13670349	Chile
5705001	Rio Colorado Antes Junta Rio Olivares	1500	-33.49000168	-70.13420105	Chile
5737002	Rio Mapocho Rinconada De Maipu	440	-33.49610138	-70.8167038	Chile
5730015	Campus San Joaquin U.C.	570	-33.49750137	-70.61419678	Chile
5730039	Quebrada De Macul	950	-33.50170135	-70.51439667	Chile
